t_v_plc,v_plc,t_v_gnss,v_gnss,t_latlon,lon,lat
-0.10746861457824708,0.0,-0.07230558395385742,0.007200000000000001,0.3787975311279297,8.681308574571634,49.86205314291419
-0.014113674163818368,0.0,0.024424648284912115,0.02595996918334072,1.3787975311279297,8.68130856947861,49.86205313533392
0.08191107749938964,0.0,0.11507949829101563,0.014843180252223578,2.3787975311279297,8.681308566005649,49.86205314854592
0.19252323150634765,0.0,0.24792442321777344,0.008049844718999244,3.3787975311279297,8.681308594809131,49.86205315164822
0.2867214584350586,0.024419999308884145,0.3271482944488525,0.01297998459167036,4.37879753112793,8.68131207329152,49.862053134360366
0.38350104331970214,0.024419999308884145,0.4251399993896484,0.01297998459167036,5.37879753112793,8.681324377451974,49.862053240883576
0.4925804042816162,0.0,0.5216921329498291,0.0252,6.37879753112793,8.681346129362565,49.86205335789088
0.5867166423797607,0.024419999308884145,0.6292584896087646,0.018356470248934026,7.37879753112793,8.68137762935125,49.862053536892624
0.6835408115386963,0.0,0.7303236484527588,0.02545584412271571,8.37879753112793,8.681418754271085,49.8620537379304
0.7926199340820312,0.0,0.8197253704071045,0.029686360504447156,9.37879753112793,8.681467755103466,49.86205398826054
0.8864002132415771,0.024419999308884145,0.937827205657959,0.030758413483143107,10.37879753112793,8.681522891484438,49.86205397381542
0.9835405254364014,0.024419999308884145,1.0312877655029298,0.02741678318111007,11.37879753112793,8.681582757024755,49.862049233815235
1.092590560913086,0.024419999308884145,1.1289602279663087,0.01609968943799849,12.37879753112793,8.681644464910645,49.862036786866064
1.190805902481079,0.0,1.2223499774932862,0.032599386497294706,13.37879753112793,8.68170506431521,49.862015507392925
1.2867593669891357,0.024419999308884145,1.3361018657684327,0.01609968943799849,14.37879753112793,8.681758857754343,49.86198636631183
1.3835456275939941,0.024419999308884145,1.4347861766815186,0.0,15.37879753112793,8.68180036926936,49.861953094814794
1.4926276111602783,0.0,1.5174399375915528,0.011384199576606167,16.37879753112793,8.681829432612176,49.861918075600286
1.5870110893249512,0.024419999308884145,1.619026517868042,0.020991426821443084,17.37879753112793,8.681847238476365,49.861883131235366
1.6835803890228271,0.0,1.7188178062438966,0.020364675298172572,18.37879753112793,8.681855955919746,49.86184911176567
